"Year","Emissions_Tons"
1751,18701056
1752,18708384
1753,18708384
1754,18715712
1755,18723040
1756,20012768
1757,20020096
1758,20027424
1759,20034752
1760,20034752
1761,21947360
1762,21954688
1763,21962016
1764,21969344
1765,21976672
1766,24519488
1767,24526816
1768,24534144
1769,24541472
1770,24548800
1771,27223520
1772,27230848
1773,27238176
1774,27245504
1775,27252832
1776,30074112
1777,30081440
1778,30088768
1779,30096096
1780,30110752
1781,33686816
1782,33694144
1783,33708800
1784,33716128
1785,33738112
1786,38303456
1787,38318112
1788,38325440
1789,38340096
1790,38354752
1791,42839488
1792,43792128
1793,43828768
1794,43762816
1795,43784800
1796,45902592
1797,48188928
1798,50189472
1799,52856864
1800,55930960
1801,55652496
1802,73276336
1803,62680048
1804,68285968
1805,66497936
1806,69758896
1807,73371600
1808,69736912
1809,69777216
1810,74342560
1811,78717376
1812,81531328
1813,81919712
1814,83696752
1815,86375136
1816,94666768
1817,98143904
1818,98506640
1819,99133184
1820,100584128
1821,102042400
1822,106065472
1823,112199008
1824,116035216
1825,120377056
1826,121523888
1827,130383440
1828,131680496
1829,130995328
1830,176146800
1831,166770624
1832,167184656
1833,170068224
1834,173589328
1835,176575488
1836,204817600
1837,204077472
1838,211053728
1839,217707552
1840,231989824
1841,239021040
1842,252086864
1843,257945600
1844,273550576
1845,299220560
1846,302880896
1847,329730688
1848,330844544
1849,348801808
1850,373881888
1851,372976880
1852,388318048
1853,404260112
1854,477122416
1855,481816000
1856,514546512
1857,518727136
1858,526289632
1859,556924336
1860,613305968
1861,649029968
1862,660007312
1863,700227040
1864,754729040
1865,805046752
1866,830082864
1867,881554736
1868,898376160
1869,947067056
1870,964602960
1871,1026447616
1872,1123745136
1873,1189286768
1874,1108272064
1875,1211835024
1876,1232895696
1877,1245825952
1878,1254055296
1879,1323795872
1880,1496161424
1881,1542104320
1882,1614915328
1883,1712249488
1884,1721863824
1885,1731950816
1886,1748101728
1887,1830241280
1888,1993978112
1889,2030486208
1890,2175939680
1891,2268492320
1892,2253198784
1893,2210901568
1894,2333429392
1895,2440458496
1896,2535051984
1897,2653435824
1898,2777180096
1899,3000138160
1900,3154795600
1901,3221912752
1902,3282328448
1903,3528149872
1904,3579955168
1905,3778562288
1906,3946054720
1907,4433018640
1908,4355953728
1909,4460198192
1910,4640364400
1911,4749430688
1912,4956168224
1913,5369885120
1914,4859097872
1915,4730143392
1916,5064611632
1917,5230096192
1918,5111217712
1919,4447337552
1920,5178408144
1921,4628405104
1922,4906139968
1923,5302636064
1924,5509750992
1925,5517848432
1926,5224288752
1927,5913164720
1928,5928824656
1929,6375297712
1930,5892444800
1931,5282773520
1932,4798392720
1933,5016114928
1934,5453699120
1935,5711802272
1936,6187334512
1937,6685473632
1938,6417422720
1939,6724737056
1940,7226558496
1941,7332147648
1942,7361368048
1943,7559762656
1944,7321639296
1945,5617714416
1946,6316974160
1947,6952036960
1948,7310203952
1949,7146459792
1950,7660346784
1951,8302653312
1952,8422539392
1953,8646124000
1954,8896540080
1955,9690265072
1956,10312632112
1957,10660232128
1958,10914671280
1959,14081182961.76
1960,14837156149.98
1961,15114494476.45
1962,15822508428.95
1963,16767884849.03
1964,17732998207.95
1965,18522799804.63
1966,19368695448.17
1967,20057381129.62
1968,21153721974.09
1969,22477855774.31
1970,24138228986.5
1971,25145202679.97
1972,26167306716.68
1973,27622164727.96
1974,27760724304.81
1975,27705306218.76
1976,29325928133.19
1977,30110357745.16
1978,30684711320.87
1979,32156285873.86
1980,32066172161.49
1981,31151078329.24
1982,30975696462.24
1983,30941376404.22
1984,31878863239.57
1985,32931575599.74
1986,33667047215.61
1987,34520382165.9
1988,35680907623.53
1989,36323460328.17
1990,36379302107.42
1991,36539482035.57
1992,35635592444.62
1993,35511400973.23
1994,35718000481.13
1995,36301341404.19
1996,37069036866.28
1997,37431358384.34
1998,37470476676.33
1999,37570900316.11
2000,38583392407.63
2001,39407198502.38
2002,39890871151.51
2003,41732145293.44
2004,43421796805.26
2005,44670005547.35
2006,46029944230.04
2007,46817280206.39
2008,48033724142.98
2009,47149871934.58
2010,49314440648.37
2011,50886244017.75
2012,51731506617.65
2013,51799560571.58
2014,52115134287.15
2015,52223801161.36
2016,52574518093.29
2017,53319489184.83
